fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,updated_at,owner_type_code,federal_agency_id,federal_agency_name,open_date,hydrogen_status_link,ng_vehicle_class,lpg_primary,e85_blender_pump,ev_connector_types,country,intersection_directions_french,access_days_time_french,bd_blends_french,groups_with_access_code_french,hydrogen_is_retail,access_code,access_detail_code,federal_agency_code,facility_type,cng_dispenser_num,cng_on_site_renewable_source,cng_total_compression_capacity,cng_storage_capacity,lng_on_site_renewable_source,e85_other_ethanol_blends,ev_pricing,ev_pricing_french,lpg_nozzle_types,hydrogen_pressures,hydrogen_standards,cng_fill_type_code,cng_psi,cng_vehicle_class,lng_vehicle_class,ev_on_site_renewable_source,georeference,location
ELEC,Market 32,19 Centre Dr,,Plattsburgh,NY,12901,,518-562-3560,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,44.695363,-73.492162,2021-03-15,65281,2022-02-10T19:42:29,SG,,,2014-11-01,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,POINT (-73.492162 44.695363),POINT(-73.492162 44.695363)
ELEC,Rapidpark 210 W 102nd Street - Tesla Destination,210 W 102st St,,New York,NY,10025,,212-864-8605  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.797961,-73.968389,2020-11-03,115051,2021-03-11T23:22:17,P,,,2017-09-01,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.968389 40.797961),POINT(-73.968389 40.797961)
ELEC,Edge,3954 NY-12,,Lyons Falls,NY,13368,,866-816-7584,E,,Public,24 hours daily,,,,,,1,,,EV Connect,http://evconnect.com/,GPS,43.621010,-75.372871,2020-04-08,123107,2021-03-11T23:22:17,P,,,2019-04-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,POINT (-75.3728714 43.6210096999999),POINT(-75.372871 43.621010)
ELEC,PANYNJ JFK Y GARAGE 4,JFK Terminal 5 JFK International Airport,,Queens,NY,11430,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.645841,-73.779222,2022-03-29,147470,2022-03-29T00:38:17,,,,2019-11-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.779222 40.645841),POINT(-73.779222 40.645841)
ELEC,KINGSTON VW STATION 1,1249 Ulster Ave,,Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.967208,-73.990374,2022-03-29,183754,2022-03-29T00:38:17,,,,2021-02-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.990374 41.967208),POINT(-73.990374 41.967208)
ELEC,"EAST GARAGE 1 E GARAGE #1",2 Bay Club Dr,,Bayside,NY,11360,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.778036,-73.780899,2022-03-29,190874,2022-03-29T00:38:17,,,,2021-06-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.780899 40.778036),POINT(-73.780899 40.778036)
ELEC,RIVERWATCH EV1 STATION1,1020 Warburton Ave,,Yonkers,NY,10701,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.970419,-73.889216,2022-03-29,205066,2022-03-29T00:38:17,,,,2022-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.889216 40.970419),POINT(-73.889216 40.970419)
ELEC,WHITEFACE MT WHITEFACE MT 3,5021 Route 86,,Wilmington,NY,12997,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.359064,-73.858857,2022-03-29,182171,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.858857 44.359064),POINT(-73.858857 44.359064)
ELEC,The Alpine Lodge - Tesla Destination,264 Main St,,North Creek,NY,12853,,518-251-2451  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.700216,-73.986141,2020-11-03,115200,2021-03-11T23:22:17,P,,,2018-11-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,POINT (-73.986141 43.700216),POINT(-73.986141 43.700216)
ELEC,Glen Avenue Suites,6 Glen Ave,,Cooperstown,NY,13326,,607-547-5054,E,,Public,8am-6pm daily; for guest use only,,,,,,1,,,Non-Networked,,GPS,42.698540,-74.931170,2020-03-03,131661,2022-02-24T19:51:12,P,,,2019-07-15,,,,,J1772,US,,,,Public,,public,,,INN,,,,,,,Free,,,,,,,,,,POINT (-74.93117 42.69854),POINT(-74.931170 42.698540)
ELEC,Legend Nissan,268 Jericho Turnpike,,Syosset,NY,11791,,516-496-8181,E,,Public,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,40.809865,-73.507761,2022-03-07,44203,2022-03-07T19:49:53,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,POINT (-73.507761 40.809865),POINT(-73.507761 40.809865)
ELEC,POUGHEEPSIE EV POUGHKEEPSIE 1,41 Civic Center Plaza,,Poughkeepsie,NY,12601,,888-758-4389,E,,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.704770,-73.927310,2022-03-29,183106,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.92731 41.70477),POINT(-73.927310 41.704770)
ELEC,NATIONAL GRID KOHLS SARATOGA,79 Weibel Rd,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.097209,-73.746601,2022-03-29,162196,2022-03-29T00:38:17,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.746601 43.097209),POINT(-73.746601 43.097209)
ELEC,CHHA2 Garages,532 W 122nd St,,New York,NY,10027,,866-816-7584,E,,Public - Credit card at all times,24 hours daily; Also accepts PayPal and Apple Pay,A D M V,,,,,4,,,EV Connect,http://evconnect.com/,GPS,40.811438,-73.960481,2020-12-03,168414,2021-03-11T23:22:17,P,,,2020-08-28,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PAY_GARAGE,,,,,,,,,,,,,,,,,POINT (-73.960481 40.811438),POINT(-73.960481 40.811438)
ELEC,333 Schermerhorn Garage - The Hub - Tesla Destination,333 Schermerhorn St,,Brooklyn,NY,11217,,718-395-4072  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.687220,-73.981174,2020-11-03,150532,2021-03-11T23:22:17,P,,,2019-09-30,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,POINT (-73.981174 40.68722),POINT(-73.981174 40.687220)
ELEC,Stewart's Shops - Tesla Supercharger,5805 NY-9G,,Hudson,NY,12534,,877-798-3752,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,42.223280,-73.826266,2022-02-10,205810,2022-02-10T19:42:29,P,,,2022-02-04,,,,,TESLA,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,,,,,,,,POINT (-73.8262663396156 42.2232799276574),POINT(-73.826266 42.223280)
ELEC,ESF STATION 8,Stadium Place,,Syracuse,NY,13210,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.035231,-76.139688,2022-03-29,197198,2022-03-29T00:38:17,,,,2021-10-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-76.139688 43.035231),POINT(-76.139688 43.035231)
ELEC,VOB KENSINGTON 1,15 Kensington Terrace,,Bronxville,NY,10708,,888-758-4389,E,,Public,Mon 3:00pm - 12:00am; Tue 3:00pm - 12:00am; Wed 3:00pm - 12:00am; Thu 3:00pm - 12:00am; Fri 3:00pm - 12:00am; Sat 6:00am - 12:00am; Sun 6:00am - 12:00am,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.942543,-73.834410,2022-03-29,165221,2022-03-29T00:38:17,,,,2020-08-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.83441 40.942543),POINT(-73.834410 40.942543)
